time,empirical_mean_covariance,discrete_bound_mean_covariance,continuous_bound_mean_covariance
105.74,17.47923923201146,17.576589999622705,17.153247787747475
105.76,17.4784312807994,17.57656013007744,17.153225531852655
105.78,17.47852617440606,17.576530298074207,17.153203304868118
105.8,17.477936280352885,17.57650050356542,17.153181106755984
105.82,17.478043860334065,17.576470746503528,17.15315893747842
105.84,17.478364351728107,17.576441026841042,17.153136796997636
105.86,17.478117329378478,17.576411344530555,17.153114685275906
105.88,17.477695960117952,17.576381699524696,17.15309260227554
105.9,17.477594630514808,17.57635209177617,17.153070547958905
105.92,17.477248048970115,17.57632252123773,17.15304852228843
105.94,17.47689422181311,17.57629298786221,17.153026525226565
105.96,17.476672157679868,17.576263491602486,17.153004556735834
105.98,17.47650787159069,17.576234032411506,17.152982616778797
106.0,17.476851319155188,17.57620461024226,17.15296070531808
106.02,17.47658571877995,17.576175225047816,17.152938822316333
106.04,17.476239099016162,17.576145876781315,17.152916967736278
106.06,17.475930464616464,17.57611656539591,17.152895141540682
106.08,17.47521614630646,17.57608729084487,17.152873343692352
106.1,17.474938555443828,17.576058053081482,17.152851574154152
106.12,17.475538511186613,17.576028852059114,17.15282983288899
106.14,17.47551618589322,17.575999687731194,17.152808119859834
106.16,17.475445250369585,17.5759705600512,17.152786435029682
106.18,17.475155232843026,17.575941468972676,17.152764778361604
106.2,17.47500439334899,17.575912414449213,17.152743149818694
106.22,17.475486548907494,17.57588339643449,17.15272154936412
106.24,17.475056456331245,17.57585441488222,17.15269997696108
106.26,17.47491005949474,17.575825469746178,17.15267843257283
106.28,17.474899803488327,17.5757965609802,17.152656916162673
106.3,17.47481330311909,17.57576768853821,17.15263542769396
106.32,17.474219569749703,17.57573885237413,17.152613967130083
106.34,17.47459100829611,17.575710052442002,17.1525925344345
106.36,17.474651749391082,17.57568128869589,17.152571129570703
106.38,17.47431517901785,17.57565256108993,17.15254975250223
106.4,17.474263948855754,17.57562386957831,17.15252840319269
106.42,17.474130183309338,17.575595214115292,17.1525070816057
106.44,17.4740793205303,17.57556659465518,17.152485787704975
106.46,17.474130161584096,17.57553801115235,17.15246452145423
106.48,17.473775890909327,17.575509463561225,17.15244328281727
106.5,17.47349950121077,17.575480951836276,17.152422071757908
106.52,17.47383359627921,17.57545247593207,17.15240088824004
106.54,17.4738650593229,17.575424035803202,17.15237973222759
106.56,17.474199282980965,17.575395631404323,17.152358603684533
106.58,17.473754801135502,17.57536726269016,17.15233750257489
106.6,17.473638513234533,17.57533892961548,17.152316428862743
106.62,17.473682771106265,17.575310632135135,17.152295382512207
106.64,17.47340371058155,17.575282370204004,17.15227436348744
106.66,17.47345239548761,17.575254143777045,17.152253371752664
106.68,17.473246510244657,17.57522595280926,17.15223240727214
106.7,17.47325932062343,17.575197797255715,17.15221147001018
106.72,17.473835158338545,17.57516967707153,17.152190559931128
106.74,17.473538499115346,17.57514159221188,17.15216967699941
106.76,17.47336745697397,17.575113542632025,17.152148821179452
106.78,17.473481882499538,17.57508552828724,17.152127992435766
106.8,17.47338595059475,17.575057549132893,17.15210719073289
106.82,17.473877548495878,17.575029605124385,17.152086416035417
106.84,17.474324577390004,17.575001696217175,17.15206566830799
106.86,17.474158023826114,17.5749738223668,17.152044947515286
106.88,17.474238970649285,17.57494598352884,17.152024253622045
106.9,17.474470491109173,17.57491817965892,17.15200358659304
106.92,17.474497042466343,17.574890410712747,17.151982946393094
106.94,17.474367051799028,17.574862676646063,17.151962332987086
106.96,17.474043835103643,17.574834977414685,17.151941746339926
106.98,17.474137453101925,17.57480731297448,17.151921186416583
107.0,17.473906226480764,17.574779683281353,17.151900653182068
107.02,17.473666533166586,17.5747520882913,17.15188014660143
107.04,17.47367405977402,17.574724527960335,17.151859666639794
107.06,17.473811873053275,17.574697002244577,17.151839213262285
107.08,17.47372473940637,17.574669511100137,17.15181878643411
107.1,17.47410146033404,17.57464205448325,17.15179838612051
107.12,17.474128741769576,17.574614632350155,17.15177801228677
107.14,17.473965773698016,17.574587244657174,17.151757664898227
107.16,17.473946908578956,17.57455989136067,17.15173734392026
107.18,17.474236667120465,17.574532572417077,17.151717049318293
107.2,17.47417233419329,17.574505287782877,17.151696781057797
107.22,17.47416453363512,17.574478037414607,17.151676539104283
107.24,17.474124377530867,17.57445082126886,17.151656323423328
107.26,17.47415739283644,17.57442363930228,17.151636133980524
107.28,17.47420751550389,17.574396491471585,17.151615970741535
107.3,17.474094470358445,17.574369377733525,17.151595833672058
107.32,17.473979736602953,17.574342298044918,17.151575722737828
107.34,17.474182713137957,17.574315252362638,17.151555637904643
107.36,17.474021763652296,17.574288240643593,17.151535579138343
107.38,17.473751461888604,17.5742612628448,17.1515155464048
107.4,17.473802895679285,17.574234318923263,17.151495539669934
107.42,17.47385676698069,17.574207408836088,17.15147555889973
107.44,17.47417575040165,17.574180532540407,17.15145560406018
107.46,17.47389674318662,17.574153689993448,17.15143567511737
107.48,17.47398500963208,17.57412688115244,17.151415772037392
107.5,17.474226544181295,17.574100105974715,17.151395894786397
107.52,17.474290925124553,17.574073364417618,17.151376043330576
107.54,17.474270110674155,17.574046656438586,17.15135621763617
107.56,17.474252416298263,17.574019981995086,17.15133641766947
107.58,17.47401431936074,17.573993341044638,17.151316643396793
107.6,17.474169050212897,17.573966733544843,17.151296894784526
107.62,17.474403118570738,17.573940159453326,17.151277171799073
107.64,17.47449729279852,17.573913618727783,17.151257474406904
107.66,17.475114449430638,17.57388711132595,17.151237802574517
107.68,17.475061336458886,17.573860637205648,17.151218156268477
107.7,17.475403998001056,17.573834196324718,17.151198535455364
107.72,17.47553330982429,17.57380778864106,17.151178940101826
107.74,17.47532529816813,17.573781414112652,17.15115937017454
107.76,17.474993541306855,17.5737550726975,17.151139825640236
107.78,17.4748352056335,17.573728764353678,17.151120306465682
107.8,17.47452453889803,17.5737024890393,17.151100812617702
107.82,17.47430034035961,17.57367624671256,17.151081344063144
107.84,17.474071097760422,17.57365003733166,17.15106190076892
107.86,17.47361281122414,17.57362386085491,17.15104248270197
107.88,17.473958763308342,17.573597717240638,17.151023089829284
107.9,17.47427234615666,17.573571606447224,17.1510037221179
107.92,17.4744826830833,17.573545528433133,17.15098437953489
107.94,17.47404580095183,17.573519483156836,17.15096506204738
107.96,17.474179570193556,17.573493470576906,17.150945769622535
107.98,17.473448778704977,17.573467490651936,17.150926502227563
108.0,17.473270771415073,17.573441543340582,17.150907259829705
108.02,17.473074589662644,17.573415628601545,17.150888042396268
108.04,17.472866568949073,17.573389746393598,17.15086884989458
108.06,17.472813457209828,17.57336389667555,17.15084968229203
108.08,17.47310591106961,17.573338079406266,17.150830539556036
108.1,17.472846434910906,17.573312294544667,17.15081142165407
108.12,17.47264833818452,17.57328654204974,17.15079232855364
108.14,17.47281201261837,17.57326082188049,17.150773260222298
108.16,17.47227354278787,17.573235133995997,17.150754216627636
108.18,17.472521806308965,17.57320947835539,17.1507351977373
108.2,17.47306273310679,17.573183854917865,17.150716203518968
108.22,17.47319300090007,17.57315826364264,17.150697233940367
108.24,17.473652507892577,17.57313270448901,17.150678288969257
108.26,17.473674717158293,17.573107177416304,17.150659368573454
108.28,17.473918000597724,17.573081682383922,17.15064047272081
108.3,17.47429617682114,17.5730562193513,17.15062160137921
108.32,17.47413286317544,17.573030788277936,17.150602754516605
108.34,17.474339033829917,17.573005389123363,17.150583932100965
108.36,17.47416285169925,17.572980021847208,17.15056513410031
108.38,17.474123254528752,17.572954686409094,17.15054636048272
108.4,17.473820228104394,17.572929382768724,17.150527611216276
108.42,17.473501962371387,17.57290411088586,17.150508886269147
108.44,17.473720846266584,17.572878870720306,17.150490185609513
108.46,17.47322036024143,17.572853662231903,17.15047150920561
108.48,17.47294575133532,17.57282848538058,17.150452857025705
108.5,17.47350316379055,17.572803340126278,17.150434229038126
108.52,17.473729035472715,17.57277822642901,17.150415625211224
108.54,17.473852716770104,17.57275314424883,17.1503970455134
108.56,17.474125824639984,17.572728093545866,17.1503784899131
108.58,17.474513594130915,17.572703074280273,17.150359958378793
108.6,17.47455593705376,17.572678086412253,17.150341450879022
108.62,17.474802348040225,17.57265312990209,17.150322967382348
108.64,17.475126000034386,17.572628204710085,17.15030450785737
108.66,17.47431109589656,17.57260331079661,17.150286072272745
108.68,17.474034421037675,17.57257844812207,17.150267660597173
108.7,17.47386199851071,17.572553616646946,17.150249272799368
108.72,17.47425619345129,17.57252881633175,17.150230908848116
108.74,17.474158893136543,17.57250404713706,17.150212568712227
108.76,17.474246473532023,17.57247930902348,17.15019425236056
108.78,17.473652139747383,17.57245460195168,17.150175959762013
108.8,17.473917761900978,17.572429925882386,17.150157690885518
108.82,17.473915121795216,17.57240528077637,17.15013944570006
108.84,17.474443287342577,17.572380666594444,17.15012122417466
108.86,17.47457456274637,17.572356083297482,17.150103026278376
108.88,17.474393988962117,17.572331530846398,17.15008485198031
108.9,17.474793027428312,17.572307009202163,17.15006670124961
108.92,17.474679442647805,17.57228251832581,17.150048574055457
108.94,17.47475329231996,17.57225805817839,17.15003047036707
108.96,17.474751941368694,17.57223362872104,17.150012390153723
108.98,17.47500627508645,17.572209229914915,17.149994333384715
109.0,17.474385299519994,17.572184861721226,17.149976300029397
109.02,17.474660180071115,17.572160524101275,17.149958290057153
109.04,17.475007074103083,17.57213621701634,17.14994030343742
109.06,17.47451280546088,17.572111940427806,17.14992234013964
109.08,17.474487572691302,17.572087694297107,17.149904400133348
109.1,17.474538141670724,17.572063478585676,17.149886483388077
109.12,17.474749666546987,17.57203929325505,17.14986858987342
109.14,17.474742543901687,17.572015138266785,17.149850719559005
109.16,17.47370962619381,17.571991013582487,17.149832872414507
109.18,17.473796318083053,17.571966919163835,17.149815048409625
109.2,17.473460454148988,17.57194285497254,17.14979724751411
109.22,17.47325765373857,17.57191882097035,17.14977946969775
109.24,17.472921416693694,17.571894817119077,17.149761714930378
109.26,17.472614072783536,17.571870843380584,17.149743983181857
109.28,17.472661032318037,17.57184689971678,17.149726274422104
109.3,17.47283942919321,17.571822986089607,17.14970858862106
109.32,17.473079187623643,17.57179910246109,17.14969092574871
109.34,17.47359031714411,17.57177524879326,17.149673285775087
109.36,17.47431951405488,17.571751425048234,17.149655668670256
109.38,17.474696556559024,17.571727631188157,17.149638074404322
109.4,17.47472284991338,17.571703867175227,17.14962050294743
109.42,17.47485939244408,17.571680132971697,17.14960295426977
109.44,17.474181428179836,17.571656428539843,17.149585428341563
109.46,17.474735136903597,17.571632753842024,17.149567925133073
109.48,17.47431828921339,17.57160910884063,17.149550444614604
109.5,17.4746198702997,17.57158549349809,17.149532986756498
109.52,17.474530370517513,17.571561907776903,17.149515551529138
109.54,17.474972178706896,17.571538351639592,17.14949813890294
109.56,17.47516634072137,17.57151482504876,17.14948074884837
109.58,17.474281160426266,17.57149132796701,17.14946338133592
109.6,17.4743360832503,17.571467860357046,17.149446036336133
109.62,17.47464286983419,17.571444422181568,17.14942871381958
109.64,17.474382584347694,17.571421013403377,17.149411413756884
109.66,17.47433869813539,17.571397633985278,17.1493941361187
109.68,17.473830069589205,17.571374283890144,17.149376880875714
109.7,17.473515999882423,17.571350963080892,17.14935964799865
109.72,17.473534975873793,17.571327671520475,17.149342437458298
109.74,17.47310440643622,17.57130440917192,17.149325249225452
109.76,17.471918369624447,17.571281175998283,17.149308083270967
109.78,17.471619644159734,17.571257971962662,17.149290939565724
109.8,17.471718790381615,17.571234797028207,17.149273818080648
109.82,17.47198891108633,17.571211651158123,17.149256718786702
109.84,17.471899827266633,17.571188534315667,17.14923964165489
109.86,17.471874478218435,17.57116544646411,17.14922258665625
109.88,17.471675905378948,17.57114238756681,17.149205553761856
109.9,17.4718297108913,17.571119357587143,17.149188542942824
109.92,17.471498637759304,17.571096356488564,17.149171554170312
109.94,17.47128274786329,17.571073384234527,17.149154587415513
109.96,17.47159933958107,17.571050440788564,17.14913764264965
109.98,17.47128233403546,17.571027526114264,17.149120719843992
110.0,17.471364401355732,17.571004640175246,17.149103818969845
110.02,17.47117304525707,17.570981782935167,17.149086939998558
110.04,17.470707743771868,17.570958954357746,17.14907008290151
110.06,17.470543389797097,17.57093615440673,17.14905324765012
110.08,17.470660322128033,17.570913383045944,17.149036434215837
110.1,17.47093563514641,17.570890640239238,17.14901964257017
110.12,17.47078212154668,17.570867925950502,17.14900287268464
110.14,17.470660024168446,17.57084524014368,17.148986124530822
110.16,17.470276262717935,17.57082258278276,17.148969398080318
110.18,17.470943738172842,17.570799953831806,17.14895269330478
110.2,17.470789643080913,17.57077735325486,17.148936010175884
110.22,17.470494447016492,17.570754781016078,17.148919348665352
110.24,17.470452882040647,17.57073223707962,17.148902708744945
110.26,17.470536729636233,17.570709721409717,17.148886090386448
110.28,17.470677156388014,17.570687233970627,17.1488694935617
110.3,17.47087640226344,17.570664774726662,17.148852918242564
110.32,17.470421194334453,17.57064234364219,17.148836364400953
110.34,17.470286424977647,17.570619940681595,17.148819832008797
110.36,17.469950418534353,17.570597565809344,17.148803321038088
110.38,17.470027009740935,17.570575218989912,17.14878683146084
110.4,17.469239952767502,17.57055290018785,17.1487703632491
110.42,17.469664083115596,17.57053060936774,17.148753916374964
110.44,17.469811332346943,17.570508346494204,17.14873749081056
110.46,17.469773124159644,17.57048611153192,17.14872108652805
110.48,17.469265828232118,17.570463904445617,17.148704703499636
110.5,17.469688955809335,17.57044172520005,17.148688341697554
110.52,17.470001306099725,17.57041957376003,17.148672001094074
110.54,17.470188568470096,17.570397450090415,17.148655681661516
110.56,17.470387814440652,17.57037535415609,17.14863938337222
110.58,17.470972462380495,17.570353285922014,17.14862310619857
110.6,17.471242373874976,17.570331245353167,17.148606850112994
110.62,17.471254642987137,17.57030923241459,17.14859061508794
110.64,17.4711854180708,17.57028724707137,17.148574401095896
110.66,17.471544517990242,17.570265289288603,17.148558208109407
110.68,17.471898056984063,17.570243359031476,17.148542036101023
110.7,17.47187417857517,17.570221456265198,17.14852588504335
110.72,17.472163986338483,17.57019958095502,17.148509754909036
110.74,17.472426876190188,17.57017773306625,17.14849364567074
110.76,17.472648599296463,17.57015591256422,17.14847755730118
110.78,17.472743597441216,17.57013411941433,17.148461489773098
110.8,17.47279106875712,17.570112353582015,17.148445443059273
110.82,17.47292175363281,17.57009061503275,17.148429417132533
110.84,17.472677951634132,17.57006890373205,17.148413411965723
110.86,17.472946336010978,17.57004721964549,17.148397427531737
110.88,17.47295362001432,17.570025562738667,17.148381463803492
110.9,17.472975400895173,17.57000393297724,17.148365520753956
110.92,17.47288185724684,17.569982330326916,17.14834959835612
